chart_date,track_id,track_name,streams,position,release_date,album_id,artist_id,artist_name,genres,followers,chart_date_year,chart_date_month,chart_date_day,release_date_year,release_date_month,release_date_day,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,predicted_genre_id,predicted_genre,genre_probabilities,predicted_genre_proba
2017-01-01,6XmskR1cMfgys1W7dExmgi,With a Smile (feat. Kelly Badon),14701,129,2005-11-15,7tfDmiKEApFiZmT5MzIN1o,6ZgBJRjJsK1iOJGKGZxEUv,South Border,['opm'],1035498,2017,1,1,2005,11,15,0.479,0.523,264413,0.534,3.01e-05,6,0.111,-8.942,1,61,0.0296,75.988,0.508,2,opm rock,"[0.09, 0.06, 0.78, 0.07]",0.78
2017-01-01,4r7vGTk9HCW7YDorNWoclF,Meron Nang Iba,14616,131,2013-06-11,4xxRoePLdITFIhrzUhmOaQ,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,['opm'],3437545,2017,1,1,2013,6,11,0.261,0.69,240360,0.526,0.000233,9,0.113,-9.939,1,0,0.0319,116.076,0.608,0,opm p-pop,"[0.34, 0.3, 0.23, 0.13]",0.34
2017-01-01,6CiuHbascZBxfFqdixSXiW,Set You Free,12996,150,2008-08-15,4vZ9jbxJDvWVO18RUOCuUo,5elcNQkZ6FCZA3grSOMngY,MYMP,['opm'],1165050,2017,1,1,2008,8,15,0.821,0.642,264573,0.281,0.0,4,0.123,-11.478,1,0,0.0346,60.009,0.101,3,opm senti,"[0.03, 0.03, 0.14, 0.8]",0.8
2017-01-01,37hmZirFpkUcMNlkf5i60r,O Pag-ibig,12734,154,2015-03-07,5SdHH6qhz9PElhCLt3OZTK,69ug07KFFRhcCZ7iZ1Mn1i,Bailey May,['opm'],60425,2017,1,1,2015,3,7,0.0386,0.609,217453,0.516,0.0,0,0.234,-6.94,1,3,0.0277,170.017,0.61,2,opm rock,"[0.26, 0.04, 0.51, 0.19]",0.51
2017-01-01,135ggzbjOogZ75IQ0LQi8r,Ang Huling El Bimbo,12123,168,1995-12-21,6JbcJM51TZIX8nkjns3M4U,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,"['opm', 'pinoy reggae']",3731351,2017,1,1,1995,12,21,0.184,0.524,447333,0.503,0.0,6,0.264,-11.79,1,66,0.0245,89.497,0.436,2,opm rock,"[0.05, 0.06, 0.75, 0.14]",0.75
2017-01-01,22l6ZMCgWB1wfd1GOBe3wm,Ikaw,12054,169,2014-10-30,18HwRqjM9HspE97kn9oUBI,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,['opm'],2798639,2017,1,1,2014,10,30,0.575,0.654,284920,0.336,0.0,10,0.0784,-7.21,1,14,0.0307,120.027,0.105,3,opm senti,"[0.05, 0.04, 0.23, 0.68]",0.68
2017-01-01,14pj36HKHd6c72njvGVPWU,Pusong Ligaw,11965,171,2009-01-01,41S3W52qwH0oEKOx9ByH5t,3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,['opm'],114825,2017,1,1,2009,1,1,0.645,0.608,246666,0.417,6.69e-06,7,0.128,-10.341,1,17,0.0276,127.976,0.142,3,opm senti,"[0.03, 0.03, 0.3, 0.64]",0.64
2017-01-01,0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,11649,177,2015-01-01,0NfAzxHZ4diQArSqZMTJHc,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,['opm'],649601,2017,1,1,2015,1,1,0.689,0.452,240065,0.476,2.27e-06,2,0.361,-8.042,1,18,0.0338,139.833,0.172,2,opm rock,"[0.07, 0.03, 0.55, 0.35]",0.55
2017-01-01,5hWHHBX801NeP6jpt9mquW,Friend of Mine,11563,183,2016-09-14,54dIsKzWlMydaAO99ED8dy,4BNWanhw4AjSXjBm9L1Jzy,Juris,['opm'],790734,2017,1,1,2016,9,14,0.649,0.518,210615,0.457,6.84e-06,11,0.136,-7.596,1,10,0.0271,135.962,0.168,2,opm rock,"[0.06, 0.01, 0.48, 0.45]",0.48
2017-01-01,7DpfL3u92JKKTys5w7jfY7,Starting over Again,11386,186,2014-01-01,2VGSxW3eF2Ass0Qlp7g2PY,5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,"['opm', 'papuri']",800970,2017,1,1,2014,1,1,0.474,0.535,246813,0.441,1.21e-06,0,0.108,-6.481,1,11,0.0293,119.706,0.256,2,opm rock,"[0.0, 0.04, 0.57, 0.39]",0.57
2017-01-01,6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,11341,189,2006-02-26,5www5PCOdkBpuNCanxeo6L,6Ww3OMFzCaO33ulKh1LBFN,Hale,"['opm', 'pinoy reggae']",996274,2017,1,1,2006,2,26,0.882,0.424,328533,0.221,0.0,4,0.134,-9.279,1,55,0.0351,125.964,0.299,3,opm senti,"[0.08, 0.0, 0.26, 0.66]",0.66
2017-01-01,5KTtIkH3i6sF58N3kyWVnS,Again,11319,190,2016-08-26,0Fx4uFBscK3pLtuCZ7EE5Y,2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,"['pinoy city pop', 'pinoy indie']",66590,2017,1,1,2016,8,26,0.543,0.82,169183,0.301,0.0,0,0.0961,-9.849,1,47,0.0438,119.882,0.545,1,opm rap,"[0.22, 0.53, 0.03, 0.22]",0.53
2017-01-02,1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),13406,188,2016-04-25,3QfF6wHIC96HGQ4RzbvEKN,24fEOzlKhgSNLIcy9NdmwH,James Reid,"['deep neofolk', 'opm', 'pinoy r&b']",336959,2017,1,2,2016,4,25,0.687,0.552,294208,0.491,0.0,7,0.139,-7.776,1,0,0.0306,126.064,0.222,2,opm rock,"[0.15, 0.03, 0.49, 0.33]",0.49
2017-01-02,1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",13094,197,2015-01-01,2FDaAHJmC2h9G29zQG6mvc,62WbvkXqQGvXQvw74GU3kQ,Morissette,['opm'],1124483,2017,1,2,2015,1,1,0.216,0.528,258014,0.603,0.0,6,0.304,-5.883,1,15,0.0296,185.998,0.482,2,opm rock,"[0.07, 0.1, 0.69, 0.14]",0.69
2017-01-07,6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,16002,167,2017-05-23,7bFQYXti9mI19n2bCsm8zj,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,['opm'],955414,2017,1,7,2017,5,23,0.61,0.69,219837,0.361,4.55e-05,5,0.139,-6.428,1,14,0.0376,147.731,0.264,3,opm senti,"[0.15, 0.29, 0.13, 0.43]",0.43
2017-01-07,5zMR44ZH4KVZj4FlhTj3SE,Magbalik,14717,186,2006-07-17,3tIU2WCVDgPwnG4MraWwQ6,4HOEnLufwAqJ2qoJPVnL01,Callalily,['opm'],1711669,2017,1,7,2006,7,17,0.359,0.404,326813,0.556,4.93e-06,4,0.0964,-8.329,1,69,0.0326,159.256,0.34,2,opm rock,"[0.01, 0.02, 0.8, 0.17]",0.8
2017-01-07,7D4rSZoga8hqJqNOVcPde1,If We Fall in Love,14504,189,2007-01-19,20RBKgpWWNoA2xo7CRZfO5,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,['opm'],2798639,2017,1,7,2007,1,19,0.782,0.568,246680,0.382,1.03e-05,5,0.0945,-9.906,1,7,0.0285,140.085,0.3,3,opm senti,"[0.06, 0.01, 0.13, 0.8]",0.8
2017-01-07,7gWKGNeHjIDUkNreiYYNdm,Oo,14391,190,2006-01-01,2XZd988bbXkKBzaVklQbcb,3wbCeEPAW6po7J46netxMT,Up Dharma Down,['opm'],1044582,2017,1,7,2006,1,1,0.465,0.583,239000,0.626,4.16e-06,11,0.204,-7.485,0,0,0.153,155.13,0.6,1,opm rap,"[0.08, 0.71, 0.09, 0.12]",0.71
2017-01-07,6bMSUhAmaAGTb5RTTuzWE3,Simpleng Tao,14218,193,2003-09-01,4OS6H3C1zimI6QPXA9MXvG,7HJDRQAfEcFiARVehhM6qD,Gloc-9,"['opm', 'pinoy hip hop', 'pinoy trap']",1377361,2017,1,7,2003,9,1,0.18,0.753,244600,0.686,0.0153,1,0.0472,-5.994,1,19,0.0409,88.009,0.962,1,opm rap,"[0.35, 0.45, 0.12, 0.08]",0.45
2017-01-18,1Rt8bwO4rqGvgA1UWM1QXx,New York And Back,16596,171,2017-01-13,75T0cEfWxbdMZ42zk8EGUc,2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,"['pinoy city pop', 'pinoy indie']",66590,2017,1,18,2017,1,13,0.644,0.794,173277,0.354,3.68e-06,7,0.127,-11.632,1,48,0.0306,106.03,0.426,3,opm senti,"[0.14, 0.31, 0.21, 0.34]",0.34
2017-01-20,4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,22035,117,2016-10-21,7dT7OfZcmX7HjE8EBqehEF,0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,['opm'],501249,2017,1,20,2016,10,21,0.227,0.764,211200,0.894,0.0,0,0.0906,-2.892,1,11,0.0327,99.986,0.963,0,opm p-pop,"[0.49, 0.08, 0.2, 0.23]",0.49
2017-01-20,4g8lRiznlad8Vy4HR1J3B9,A Love To Last A Lifetime,17033,156,2017-01-12,3iYp6l0qLDkLOpAxuTs2Jb,4BNWanhw4AjSXjBm9L1Jzy,Juris,['opm'],790734,2017,1,20,2017,1,12,0.157,0.64,165067,0.438,0.00134,9,0.144,-7.431,1,10,0.0278,95.913,0.449,2,opm rock,"[0.13, 0.12, 0.4, 0.35]",0.4
2017-01-21,3nQtkvFMNkRwxjKVAlGPcG,Torete,13988,197,2001-01-01,2CZhWHzzLkNUtfONjbKOy1,2kZThDGZcHl4klYYFk0v8n,Moonstar88,['opm'],1052260,2017,1,21,2001,1,1,0.219,0.359,264202,0.399,0.0,2,0.0738,-8.174,1,0,0.0269,88.235,0.311,2,opm rock,"[0.0, 0.03, 0.74, 0.23]",0.74
2017-01-31,5fJHoiDbRO8f7wkGL0kotY,"Pag-Ibig - From ""Dangwa""",19057,146,2015-01-01,6ChgAzrMYdAVVm2fY2szVd,1tXFYQZSAswt4JLB42lpye,Sponge Cola,"['opm', 'pinoy reggae']",1375352,2017,1,31,2015,1,1,0.211,0.617,154709,0.531,0.0,7,0.0874,-10.1,1,60,0.0284,91.068,0.647,2,opm rock,"[0.26, 0.09, 0.54, 0.11]",0.54
2017-02-01,1C3wg8sCIPqpNQx0wAL4DC,The Way You Look at Me,16054,189,2004-03-25,0qEwvzXNVsPFK7eftFej7Q,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,['opm'],487095,2017,2,1,2004,3,25,0.817,0.485,207786,0.29,0.0,1,0.111,-8.444,1,61,0.0321,134.168,0.333,3,opm senti,"[0.14, 0.0, 0.16, 0.7]",0.7
2017-02-07,3U7TJUjNz7pgPSfgeGQjsP,Forevermore,15716,197,2012-01-01,7nEylzolYuExnVXy0TCPie,4BNWanhw4AjSXjBm9L1Jzy,Juris,['opm'],790734,2017,2,7,2012,1,1,0.898,0.276,294716,0.258,0.0,7,0.155,-10.434,1,14,0.041,74.698,0.3,3,opm senti,"[0.07, 0.06, 0.2, 0.67]",0.67
2017-02-09,1F9SIR4geHCMuZcdkRzvPz,Jeepney,16287,190,2013-01-01,4Jfm8pzDGoeDqWKf6Q5qO6,1tXFYQZSAswt4JLB42lpye,Sponge Cola,"['opm', 'pinoy reggae']",1375352,2017,2,9,2013,1,1,0.449,0.446,322933,0.739,0.0,2,0.52,-5.803,1,1,0.0367,85.344,0.27,2,opm rock,"[0.11, 0.06, 0.74, 0.09]",0.74
2017-02-10,4OjORl39ULsmkJHOPbOOPJ,You,15360,191,2017-02-27,3LPjvWtdccevwB0iRcdPov,7LVPSD4kabI5LiXIVPI8tn,Jona,['opm'],129160,2017,2,10,2017,2,27,0.288,0.319,266560,0.411,0.0,9,0.0914,-7.171,1,12,0.0321,138.997,0.142,2,opm rock,"[0.03, 0.06, 0.53, 0.38]",0.53
2017-02-12,60LTEqwQF7J0mO093FPRdc,Does She Know,19132,145,2017-02-10,0JxHUM5fNfidbMcevMDDpn,1DZGAZcaTA32eLJELEsjXY,Kiana V,['pinoy indie'],50071,2017,2,12,2017,2,10,0.154,0.746,231578,0.644,0.0,1,0.0923,-7.498,1,59,0.209,114.113,0.668,1,opm rap,"[0.28, 0.66, 0.02, 0.04]",0.66
2017-02-14,2PkQeKapTNUjwpKLf8aJlq,Out of My League,21549,152,2001-09-04,1tMhhFaV9EuD5rQKG9nQJA,0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,['opm'],167268,2017,2,14,2001,9,4,0.96,0.57,218800,0.317,0.00659,0,0.0979,-10.055,1,1,0.0285,92.642,0.4,3,opm senti,"[0.18, 0.1, 0.21, 0.51]",0.51
2017-02-14,66l54YRkk0mU2ECTdxJGqS,Bakit Pa Ba,18532,182,2007-01-23,0upzjL3KMPH1JZtlFOZt4K,3z0IVhtuFvt9VYUZGT98PU,Jay R,['opm'],173604,2017,2,14,2007,1,23,0.728,0.506,283520,0.388,0.0,5,0.149,-7.459,1,45,0.0275,117.536,0.176,3,opm senti,"[0.08, 0.01, 0.35, 0.56]",0.56
2017-02-14,1mZuPFi2iOM4fcl3hdwOmt,I'll Never Love This Way Again,17833,193,2017-02-27,3LPjvWtdccevwB0iRcdPov,7LVPSD4kabI5LiXIVPI8tn,Jona,['opm'],129160,2017,2,14,2017,2,27,0.792,0.326,265133,0.249,4.15e-06,10,0.148,-10.71,1,9,0.0351,131.363,0.186,3,opm senti,"[0.09, 0.02, 0.27, 0.62]",0.62
2017-02-15,0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,16793,181,2017-03-17,77ZkVwowfs27AEXl6GHiET,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,['opm'],572366,2017,2,15,2017,3,17,0.612,0.563,248760,0.314,1.14e-05,3,0.124,-9.241,1,8,0.0312,127.791,0.272,3,opm senti,"[0.03, 0.01, 0.13, 0.83]",0.83
